date,temp_max_c,temp_min_c,temp_max_f,temp_min_f,app_temp_max_c,app_temp_min_c,precip_mm,rain_mm,showers_mm,snowfall_mm,precip_hours,sunrise,sunset,daylight_sec,sunshine_sec,shortwave_radiation_mj_m2,wind_max_kmh,wind_gust_max_kmh,wind_dir_deg,weather_code,et0_mm,uv_index_max,uv_index_clear_sky_max,source,ingested_at
2025-08-01,24.1,13.0,75.38,55.4,23.9,11.3,0.2,0.2,0.0,0.0,2.0,2025-08-01 05:26:00+00:00,2025-08-01 20:42:00+00:00,54977,50330,24.35,13.1,31.3,288.0,51,4.67,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-02,26.2,14.9,79.16,58.82,27.7,14.6,0.0,0.0,0.0,0.0,0.0,2025-08-02 05:27:00+00:00,2025-08-02 20:40:00+00:00,54795,50252,24.06,7.8,14.8,239.0,1,4.52,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-03,26.8,17.6,80.24,63.68,27.0,18.2,0.0,0.0,0.0,0.0,0.0,2025-08-03 05:29:00+00:00,2025-08-03 20:39:00+00:00,54610,50172,22.84,10.1,28.4,55.0,3,4.73,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-04,28.0,18.3,82.4,64.94,27.4,19.3,0.0,0.0,0.0,0.0,0.0,2025-08-04 05:30:00+00:00,2025-08-04 20:37:00+00:00,54422,50092,23.15,10.7,30.6,343.0,2,5.15,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-05,28.8,17.6,83.84,63.68,28.9,18.1,0.1,0.1,0.0,0.0,1.0,2025-08-05 05:32:00+00:00,2025-08-05 20:35:00+00:00,54233,50011,23.38,11.3,32.4,288.0,51,4.99,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-06,28.2,19.0,82.76,66.2,29.7,20.0,2.9,2.9,0.0,0.0,3.0,2025-08-06 05:33:00+00:00,2025-08-06 20:34:00+00:00,54041,46285,19.89,20.4,49.0,247.0,61,3.94,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-07,22.8,14.3,73.04,57.74,21.6,13.5,0.0,0.0,0.0,0.0,0.0,2025-08-07 05:35:00+00:00,2025-08-07 20:32:00+00:00,53848,49706,24.43,13.9,32.8,331.0,3,4.52,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-08,23.3,13.6,73.94,56.48,23.9,14.1,0.0,0.0,0.0,0.0,0.0,2025-08-08 05:36:00+00:00,2025-08-08 20:30:00+00:00,53653,46166,23.29,8.5,21.6,167.0,3,4.29,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-09,24.8,15.3,76.64,59.54,23.9,14.5,4.0,4.0,0.0,0.0,4.0,2025-08-09 05:38:00+00:00,2025-08-09 20:28:00+00:00,53457,47845,22.52,13.0,33.8,296.0,63,4.5,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-10,26.6,14.0,79.88,57.2,26.1,13.8,0.1,0.1,0.0,0.0,1.0,2025-08-10 05:39:00+00:00,2025-08-10 20:27:00+00:00,53259,49161,23.7,10.9,24.8,262.0,51,4.57,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-11,22.2,16.0,71.96,60.8,19.6,14.8,4.5,4.5,0.0,0.0,2.0,2025-08-11 05:41:00+00:00,2025-08-11 20:25:00+00:00,53061,46258,20.52,20.1,49.7,306.0,63,4.19,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-12,23.8,13.1,74.84,55.58,21.8,11.6,0.0,0.0,0.0,0.0,0.0,2025-08-12 05:42:00+00:00,2025-08-12 20:23:00+00:00,52861,46265,19.59,14.6,37.1,301.0,3,4.25,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-13,25.7,13.9,78.26,57.02,24.5,12.8,0.0,0.0,0.0,0.0,0.0,2025-08-13 05:44:00+00:00,2025-08-13 20:21:00+00:00,52661,48604,21.47,8.9,27.0,310.0,2,4.25,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-14,26.4,14.5,79.52,58.1,24.7,14.2,0.0,0.0,0.0,0.0,0.0,2025-08-14 05:45:00+00:00,2025-08-14 20:19:00+00:00,52461,48416,21.66,12.8,34.2,349.0,2,4.68,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-15,24.1,15.0,75.38,59.0,22.8,14.2,0.0,0.0,0.0,0.0,0.0,2025-08-15 05:47:00+00:00,2025-08-15 20:17:00+00:00,52260,48227,23.55,11.5,32.8,6.0,0,4.67,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-16,27.0,14.7,80.6,58.46,26.1,14.7,0.0,0.0,0.0,0.0,0.0,2025-08-16 05:48:00+00:00,2025-08-16 20:16:00+00:00,52056,48036,23.31,10.5,27.7,217.0,0,4.84,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-17,26.5,17.3,79.7,63.14,26.3,16.3,0.2,0.2,0.0,0.0,2.0,2025-08-17 05:50:00+00:00,2025-08-17 20:14:00+00:00,51851,47690,20.41,14.8,38.9,286.0,51,4.81,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-18,21.5,14.1,70.7,57.38,19.0,12.5,0.2,0.2,0.0,0.0,2.0,2025-08-18 05:51:00+00:00,2025-08-18 20:12:00+00:00,51643,46042,18.91,15.0,39.6,327.0,51,4.0,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-19,23.4,11.2,74.12,52.16,20.8,9.4,0.0,0.0,0.0,0.0,0.0,2025-08-19 05:53:00+00:00,2025-08-19 20:10:00+00:00,51434,47002,20.6,12.0,32.0,291.0,3,3.99,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-20,24.3,13.8,75.74,56.84,21.9,12.1,0.0,0.0,0.0,0.0,0.0,2025-08-20 05:54:00+00:00,2025-08-20 20:08:00+00:00,51223,39456,18.18,12.7,33.8,232.0,3,3.97,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-21,26.5,15.9,79.7,60.62,25.3,14.7,1.0,1.0,0.0,0.0,2.0,2025-08-21 05:56:00+00:00,2025-08-21 20:06:00+00:00,51010,42982,20.35,12.5,37.4,253.0,53,4.5,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-22,23.8,16.2,74.84,61.16,25.1,16.1,5.1,5.1,0.0,0.0,10.0,2025-08-22 05:57:00+00:00,2025-08-22 20:04:00+00:00,50796,10800,8.52,13.2,29.2,20.0,61,1.77,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-23,20.9,14.3,69.62,57.74,19.1,13.6,0.3,0.3,0.0,0.0,3.0,2025-08-23 05:59:00+00:00,2025-08-23 20:02:00+00:00,50581,41075,17.33,13.4,34.6,325.0,51,3.3,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-24,17.5,11.5,63.5,52.7,15.3,9.1,2.5,2.5,0.0,0.0,6.0,2025-08-24 06:00:00+00:00,2025-08-24 20:00:00+00:00,50365,28663,15.59,16.7,38.2,270.0,53,2.72,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-25,19.1,10.1,66.38,50.18,15.8,7.2,0.0,0.0,0.0,0.0,0.0,2025-08-25 06:02:00+00:00,2025-08-25 19:57:00+00:00,50147,44987,20.29,19.2,45.7,259.0,3,3.94,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-26,17.5,10.7,63.5,51.26,14.5,8.6,7.7,7.7,0.0,0.0,9.0,2025-08-26 06:03:00+00:00,2025-08-26 19:55:00+00:00,49929,33695,15.05,18.8,46.8,257.0,63,2.71,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-27,22.5,10.7,72.5,51.26,20.0,8.4,0.0,0.0,0.0,0.0,0.0,2025-08-27 06:05:00+00:00,2025-08-27 19:53:00+00:00,49711,44450,20.05,11.7,32.4,265.0,3,3.82,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-28,25.1,11.3,77.18,52.34,24.0,10.0,0.0,0.0,0.0,0.0,0.0,2025-08-28 06:06:00+00:00,2025-08-28 19:51:00+00:00,49492,44207,21.2,12.0,24.1,140.0,3,4.01,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-29,29.0,15.5,84.2,59.9,25.9,13.8,0.0,0.0,0.0,0.0,0.0,2025-08-29 06:08:00+00:00,2025-08-29 19:49:00+00:00,49273,44070,21.32,17.5,44.6,168.0,1,5.38,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-30,30.3,16.6,86.54,61.88,27.8,14.4,0.0,0.0,0.0,0.0,0.0,2025-08-30 06:09:00+00:00,2025-08-30 19:47:00+00:00,49054,43873,21.27,14.9,40.0,150.0,0,5.71,,,open-meteo,2025-09-16 19:02:41+00:00
2025-08-31,31.4,17.6,88.52,63.68,30.6,16.5,0.0,0.0,0.0,0.0,0.0,2025-08-31 06:11:00+00:00,2025-08-31 19:45:00+00:00,48834,43528,20.32,10.5,27.7,79.0,0,4.82,,,open-meteo,2025-09-16 19:02:41+00:00
2025-09-01,30.3,19.0,86.54,66.2,28.7,19.3,0.1,0.1,0.0,0.0,1.0,2025-09-01 06:12:00+00:00,2025-09-01 19:43:00+00:00,48615,41610,17.26,16.7,42.1,24.0,51,4.78,,,open-meteo,2025-09-16 19:02:41+00:00
2025-09-02,24.7,17.3,76.46,63.14,23.6,16.7,0.0,0.0,0.0,0.0,0.0,2025-09-02 06:14:00+00:00,2025-09-02 19:40:00+00:00,48396,43313,20.41,14.9,33.5,15.0,0,4.25,,,open-meteo,2025-09-16 19:02:41+00:00
2025-09-03,24.8,13.9,76.64,57.02,24.2,13.7,0.0,0.0,0.0,0.0,0.0,2025-09-03 06:15:00+00:00,2025-09-03 19:38:00+00:00,48177,43312,20.51,9.0,19.4,55.0,1,3.74,,,open-meteo,2025-09-16 19:02:41+00:00
2025-09-04,25.8,14.4,78.44,57.92,25.1,15.2,0.0,0.0,0.0,0.0,0.0,2025-09-04 06:17:00+00:00,2025-09-04 19:36:00+00:00,47959,43200,19.97,9.3,21.2,64.0,1,3.81,,,open-meteo,2025-09-16 19:02:41+00:00
2025-09-05,23.9,13.9,75.02,57.02,22.5,13.2,0.0,0.0,0.0,0.0,0.0,2025-09-05 06:19:00+00:00,2025-09-05 19:34:00+00:00,47740,43247,19.66,8.8,24.1,98.0,0,3.79,,,open-meteo,2025-09-16 19:02:41+00:00
2025-09-06,23.7,14.3,74.66,57.74,22.4,14.3,0.0,0.0,0.0,0.0,0.0,2025-09-06 06:20:00+00:00,2025-09-06 19:32:00+00:00,47519,43200,18.92,10.8,28.8,72.0,3,3.75,,,open-meteo,2025-09-16 19:02:41+00:00
2025-09-07,22.6,13.3,72.68,55.94,20.5,12.1,0.0,0.0,0.0,0.0,0.0,2025-09-07 06:22:00+00:00,2025-09-07 19:30:00+00:00,47297,36854,16.13,13.1,35.3,41.0,3,3.52,,,open-meteo,2025-09-16 19:02:41+00:00
2025-09-08,23.9,13.7,75.02,56.66,23.6,13.1,0.9,0.9,0.0,0.0,1.0,2025-09-08 06:23:00+00:00,2025-09-08 19:27:00+00:00,47074,42553,15.82,16.2,43.9,51.0,53,3.04,,,open-meteo,2025-09-16 19:02:41+00:00
2025-09-09,24.2,13.8,75.56,56.84,23.7,13.0,0.0,0.0,0.0,0.0,0.0,2025-09-09 06:25:00+00:00,2025-09-09 19:25:00+00:00,46850,42816,18.22,10.7,28.8,71.0,0,3.42,,,open-meteo,2025-09-16 19:02:41+00:00
2025-09-10,25.1,15.7,77.18,60.26,25.4,16.4,0.1,0.1,0.0,0.0,1.0,2025-09-10 06:26:00+00:00,2025-09-10 19:23:00+00:00,46625,42684,17.45,13.1,33.8,89.0,51,3.53,,,open-meteo,2025-09-16 19:02:41+00:00
2025-09-11,22.7,13.9,72.86,57.02,19.4,11.9,0.0,0.0,0.0,0.0,0.0,2025-09-11 06:28:00+00:00,2025-09-11 19:21:00+00:00,46399,42552,18.73,15.0,38.2,117.0,3,4.13,,,open-meteo,2025-09-16 19:02:41+00:00
2025-09-12,23.0,13.1,73.4,55.58,19.8,10.8,0.0,0.0,0.0,0.0,0.0,2025-09-12 06:29:00+00:00,2025-09-12 19:19:00+00:00,46173,39012,15.61,14.3,37.8,124.0,3,3.88,,,open-meteo,2025-09-16 19:02:42+00:00
2025-09-13,22.9,15.0,73.22,59.0,20.6,13.3,0.0,0.0,0.0,0.0,0.0,2025-09-13 06:31:00+00:00,2025-09-13 19:16:00+00:00,45947,26860,10.54,14.0,34.6,122.0,3,3.07,,,open-meteo,2025-09-16 19:02:42+00:00
